,연도,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,
구분1,구분2,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자
생애주기별,19~29세,13.7,21.2,6.2,13.1,21.5,4.6,15.4,24.1,6.6,15.1,22.4,7.7,14.6,22.3,6.8,14.4,22.2,6.5,16.3,25.5,7,17.4,26.3,8.4,18.9,29.5,8.2,21,31.3,10.6,22.9,34.9,11.1,23.2,35.1,11.8,23.5,35.1,12.5,24.2,35.3,13.9
생애주기별,30~44세,22.7,34.1,10.9,22.9,34.5,10.9,23.6,35.2,11.5,24.7,37.1,11.8,25,37.8,11.9,25.4,39.2,10.9,26.1,40.4,11.3,27.1,41.6,12,26.1,40.3,11.5,29.4,44.3,13.9,32.5,48.6,15.5,31.2,46.7,15.3,31.1,46.7,15.5,33.7,49.8,17.2
생애주기별,45~64세,24.1,27.7,20.7,24.4,28.7,20.3,25.5,30.6,20.7,26.5,33,20.4,25.2,31.5,19.4,26.6,33.1,20.6,26.7,33.2,20.6,27.5,34.5,20.9,28.1,36.2,20.6,31.2,39.8,23.2,33,41.5,25.2,30.3,40.6,20.8,30.2,40.5,20.7,29.6,40,20.1
생애주기별,65세 이상,23.8,20,26.7,26.2,22.9,28.9,24.7,21,27.8,26.5,22.2,30.2,25.9,22.1,29.3,26.3,24.2,28.2,27.9,25.5,30,29,27.5,30.4,27.5,25.6,29,31.5,28.3,34.3,37.4,34.4,39.9,28.6,26.3,30.6,27.3,26.3,28.1,28.7,29.3,28.3
교육수준별Ⅰ(30~64세),중졸이하,27,26.5,27.4,29.6,28.4,30.4,28.9,28.2,29.3,31.6,32.6,31,30.1,31.2,29.4,32.1,30.8,32.9,30.9,31.4,30.6,31.9,31.1,32.4,33.3,34.1,32.7,34.3,34.1,34.4,37.6,34.7,39.3,34.3,37.4,32.1,35,37.1,33.6,32.8,34.5,31.7
교육수준별Ⅰ(30~64세),고졸,21.5,27.2,16.6,23.2,30.6,16.9,23.8,30.8,17.8,25.3,34.2,17.8,25.2,34.1,18,26,33.9,19.3,26.2,33.8,19.6,27.1,35.7,20,28.7,38,21.1,32,41.8,24.1,34.6,43.5,26.9,32.5,42.2,24.4,33.1,44.1,24,32.7,43,23.7
교육수준별Ⅰ(30~64세),대졸이상,23.5,34.8,8.5,22,33,8,23.7,35.2,9.3,24.3,36,9.8,23.7,35.6,9.7,24.6,38.1,8.8,25.6,38.6,10.9,26.5,39.6,11.1,25.5,38.6,10.7,29,42.7,13.6,31.3,46.1,14.8,29.3,44.3,13.3,29,43.3,13.8,30.6,45.7,15.1
교육수준별Ⅱ(65세 이상),초졸이하,24.5,19.6,26.1,27.4,22.8,29.2,25.4,19.9,27.6,29,19.6,32.7,27.4,21,29.8,27.9,23.3,29.7,30.5,25.8,32,30.3,23.1,33.1,29.2,23.3,31.6,36.6,26.7,40.6,42,34.1,45.2,32.5,26.2,35.2,30.3,26.9,31.6,29,23.2,31.3
교육수준별Ⅱ(65세 이상),중졸,23.4,15.8,31.2,25.6,20.6,31.2,27.1,22.9,31.8,26.9,23.9,30,27.1,23.2,31.6,26.8,25.3,28.3,30.7,30.2,31.2,28.7,27.2,30.2,27.4,24.2,30.3,26.7,27,26.4,38.5,35.5,41.3,27.2,25.9,28.2,28.8,27,30.4,29.5,31.3,28
